region;comuna;estado_principal_label;apto_para_visor;archivo_recomendado;capa_recomendada;motivo;prc_fecha;prc_nombre;actos_posteriores;ultimo_acto_posterior
Libertador General Bernardo O'Higgins;Coltauco;Vigente · sin cambios posteriores detectados;SI;IPT_O'Higgins/PRC/Coltauco/IPT_06_PRC_Coltauco.shp;IPT_06_PRC_Coltauco;La cartografía está vinculada al instrumento vigente y no se detectaron actos posteriores vigentes que requieran incorporación.;1995-12-18;Plan Regulador Comunal de Coltauco_Localidades de Coltauco - El Almendro;0;
Libertador General Bernardo O'Higgins;Doñihue;Requiere revisar cambios posteriores;REVISAR;IPT_O'Higgins/PRC/Doñihue/IPT_06_PRC_Donihue.shp;IPT_06_PRC_Donihue;Existen actos normativos posteriores al instrumento base y no está verificado que todos estén incorporados en el SIG.;1988-05-03;Plan Regulador Comunal de Doñihue_Localidades de Doñihue y Lo Miranda;1;
Libertador General Bernardo O'Higgins;Graneros;Requiere revisar cambios posteriores;REVISAR;IPT_O'Higgins/PRC/Graneros/IPT_06_PRC_Graneros.shp;IPT_06_PRC_Graneros;Existen actos normativos posteriores al instrumento base y no está verificado que todos estén incorporados en el SIG.;2016-07-02;Plan Regulador Comunal de Graneros_Localidades de Graneros y La Compañía;2;
Libertador General Bernardo O'Higgins;La Estrella;Vigente · sin cambios posteriores detectados;SI;IPT_O'Higgins/PRC/La Estrella/IPT_06_PRC_La_Estrella.shp;IPT_06_PRC_La_Estrella;La cartografía está vinculada al instrumento vigente y no se detectaron actos posteriores vigentes que requieran incorporación.;2016-04-12;Plan Regulador Comunal de La Estrella;0;
Libertador General Bernardo O'Higgins;Las Cabras;Vigente · sin cambios posteriores detectados;SI;IPT_O'Higgins/PRC/Las Cabras/IPT_06_PRC_Las_Cabras.shp;IPT_06_PRC_Las_Cabras;La cartografía está vinculada al instrumento vigente y no se detectaron actos posteriores vigentes que requieran incorporación.;1987-12-03;Plan Regulador Comunal de Las Cabras;0;
Libertador General Bernardo O'Higgins;Litueche;Requiere revisar cambios posteriores;REVISAR;IPT_O'Higgins/PRC/Litueche/IPT_06_PRC_Litueche.shp;IPT_06_PRC_Litueche;Existen actos normativos posteriores al instrumento base y no está verificado que todos estén incorporados en el SIG.;2010-01-13;Plan Regulador Comunal de Litueche;1;2022-10-21
Libertador General Bernardo O'Higgins;Lolol;Vigente · sin cambios posteriores detectados;SI;IPT_O'Higgins/PRC/Lolol/IPT_06_PRC_Lolol.shp;IPT_06_PRC_Lolol;La cartografía está vinculada al instrumento vigente y no se detectaron actos posteriores vigentes que requieran incorporación.;2009-12-17;Plan Regulador Comunal de Lolol;0;
Libertador General Bernardo O'Higgins;Machali;Requiere revisar cambios posteriores;REVISAR;IPT_O'Higgins/PRC/Machali/IPT_06_PRC_Machali.shp;IPT_06_PRC_Machali;Existen actos normativos posteriores al instrumento base y no está verificado que todos estén incorporados en el SIG.;2007-12-05;Plan Regulador Comunal de Machalí_Localidades de Machalí y Coya;10;2021-12-09
Libertador General Bernardo O'Higgins;Malloa;Requiere revisar cambios posteriores;REVISAR;IPT_O'Higgins/PRC/Malloa/IPT_06_PRC_Malloa.shp;IPT_06_PRC_Malloa;Existen actos normativos posteriores al instrumento base y no está verificado que todos estén incorporados en el SIG.;2012-04-05;Plan Regulador Comunal de Malloa_Localidades de Malloa y Pelequén;1;2014-11-19
Libertador General Bernardo O'Higgins;Marchihue;Sin cartografía SIG vinculada;NO;;;No se encontró una capa SIG vinculada con suficiente confianza al instrumento vigente.;;;0;
